DateTime,Lat,Lon,Base
"6/1/14 4:43",40.6865,-74.1082,"B02617"
"6/1/14 4:43",40.7496,-73.9795,"B02682"
"6/1/14 4:43",40.7696,-73.9625,"B02682"
"6/1/14 4:44",40.7057,-74.0114,"B02617"
"6/1/14 4:44",40.7221,-73.9587,"B02617"
"6/1/14 4:44",40.7624,-73.9964,"B02598"
"6/1/14 4:45",40.6109,-73.9723,"B02598"
"6/1/14 4:45",40.7054,-73.9385,"B02598"
"6/1/14 4:45",40.7246,-73.9936,"B02617"
"6/1/14 4:45",40.7389,-73.9959,"B02598"
"6/1/14 4:45",40.7429,-73.9947,"B02682"
"6/1/14 4:45",40.752,-73.9952,"B02682"
"6/1/14 4:46",40.7568,-73.9741,"B02598"
"6/1/14 4:47",40.6455,-73.7768,"B02598"
"6/1/14 4:47",40.7161,-73.9342,"B02682"
"6/1/14 4:47",40.736,-73.9977,"B02682"
"6/1/14 4:47",40.7475,-74.0366,"B02598"
"6/1/14 4:48",40.7293,-73.9857,"B02598"
"6/1/14 4:48",40.753,-74.0039,"B02764"
"6/1/14 4:48",40.7542,-73.9942,"B02617"
"6/1/14 4:48",40.758,-73.9888,"B02598"
"6/1/14 4:48",40.7618,-73.9927,"B02598"
"6/1/14 4:49",40.7447,-73.9816,"B02598"
"6/1/14 4:50",40.6926,-73.9862,"B02682"
"6/1/14 4:50",40.7158,-74.0109,"B02598"
"6/1/14 4:50",40.7513,-74.0033,"B02682"
"6/1/14 4:51",40.6813,-73.9278,"B02598"
"6/1/14 4:51",40.6982,-73.462,"B02512"
"6/1/14 4:51",40.7256,-74.0056,"B02682"
"6/1/14 4:52",40.6377,-73.9576,"B02682"
"6/1/14 4:52",40.6957,-74.1794,"B02617"
"6/1/14 4:52",40.7175,-73.9601,"B02682"
"6/1/14 4:52",40.807,-73.9474,"B02682"
"6/1/14 4:53",40.8066,-73.9448,"B02617"
"6/1/14 4:54",40.6449,-73.7818,"B02512"
"6/1/14 4:54",40.73,-73.993,"B02682"
"6/1/14 4:55",40.6693,-73.9846,"B02598"
"6/1/14 4:55",40.7133,-73.9906,"B02598"
"6/1/14 4:56",40.6162,-73.9001,"B02598"
"6/1/14 4:56",40.645,-73.782,"B02512"
"6/1/14 4:56",40.6461,-73.7769,"B02598"
"6/1/14 4:56",40.7014,-73.9292,"B02764"
"6/1/14 4:56",40.7398,-73.9816,"B02682"
"6/1/14 4:56",40.7687,-73.8672,"B02682"
"6/1/14 4:57",40.7026,-73.9909,"B02682"
"6/1/14 4:57",40.7406,-73.9914,"B02617"
"6/1/14 4:58",40.696,-73.9684,"B02682"
"6/1/14 4:58",40.7596,-73.9956,"B02598"
"6/1/14 4:58",40.7619,-74.0009,"B02617"
"6/1/14 4:58",40.7806,-73.9542,"B02682"
"6/1/14 4:59",40.6466,-73.7894,"B02682"
"6/1/14 4:59",40.65,-73.9741,"B02598"
"6/1/14 4:59",40.6568,-73.8074,"B02598"
"6/1/14 4:59",40.7021,-73.9928,"B02617"
"6/1/14 5:00",40.6887,-73.9619,"B02598"
"6/1/14 5:00",40.7172,-74.0408,"B02598"
"6/1/14 5:00",40.7351,-74.0099,"B02682"
"6/1/14 5:00",40.745,-73.995,"B02598"
"6/1/14 5:00",40.7844,-73.9793,"B02598"
"6/1/14 5:01",40.6872,-73.9149,"B02682"
"6/1/14 5:02",40.6949,-74.1779,"B02617"
"6/1/14 5:03",40.7061,-74.0089,"B02617"
"6/1/14 5:03",40.7609,-73.9228,"B02682"
"6/1/14 5:04",40.7294,-73.987,"B02617"
"6/1/14 5:05",40.716,-74.0086,"B02617"
"6/1/14 5:06",40.765,-73.9726,"B02598"
"6/1/14 5:06",40.7682,-73.9885,"B02598"
"6/1/14 5:07",40.7091,-73.9591,"B02682"
"6/1/14 5:07",40.7402,-74.0278,"B02598"
"6/1/14 5:07",40.7699,-73.9843,"B02512"
"6/1/14 5:08",40.6998,-73.9295,"B02598"
"6/1/14 5:08",40.7131,-73.9667,"B02598"
"6/1/14 5:09",40.7428,-73.9966,"B02682"
"6/1/14 5:09",40.7431,-74.0064,"B02598"
"6/1/14 5:10",40.7372,-73.9967,"B02512"
"6/1/14 5:10",40.7586,-73.9861,"B02598"
"6/1/14 5:11",40.7133,-73.9564,"B02682"
"6/1/14 5:11",40.759,-73.9167,"B02682"
"6/1/14 5:11",40.775,-73.957,"B02598"
"6/1/14 5:11",40.7917,-74.007,"B02682"
"6/1/14 5:12",40.66,-73.9795,"B02598"
"6/1/14 5:12",40.7338,-73.9899,"B02682"
"6/1/14 5:12",40.7714,-73.9806,"B02617"
"6/1/14 5:13",40.6467,-73.79,"B02682"
"6/1/14 5:13",40.7262,-74.0003,"B02682"
"6/1/14 5:13",40.7377,-73.8983,"B02598"
"6/1/14 5:13",40.7759,-73.909,"B02682"
"6/1/14 5:14",40.6448,-73.7826,"B02512"
"6/1/14 5:14",40.6643,-73.9771,"B02598"
"6/1/14 5:14",40.7053,-73.9353,"B02598"
"6/1/14 5:14",40.7143,-74.0082,"B02682"
"6/1/14 5:14",40.7371,-74.0004,"B02598"
"6/1/14 5:14",40.7519,-73.993,"B02598"
"6/1/14 5:15",40.6744,-73.9672,"B02598"
"6/1/14 5:15",40.7509,-73.9455,"B02598"
"6/1/14 5:15",40.7772,-73.9753,"B02598"
"6/1/14 5:16",40.6465,-73.7898,"B02617"
"6/1/14 5:16",40.6861,-73.9186,"B02682"
"6/1/14 5:16",40.7609,-73.9966,"B02598"
"6/1/14 5:17",40.6449,-73.7823,"B02682"
"6/1/14 5:17",40.7102,-73.9632,"B02682"
"6/1/14 5:17",40.7249,-73.8577,"B02682"
"6/1/14 5:17",40.811,-73.9592,"B02598"
"6/1/14 5:18",40.7623,-73.9823,"B02682"
"6/1/14 5:18",40.808,-73.9546,"B02598"
"6/1/14 5:19",40.6459,-73.7768,"B02617"
"6/1/14 5:19",40.7022,-73.926,"B02682"
"6/1/14 5:19",40.7231,-73.9999,"B02598"
"6/1/14 5:19",40.7388,-74.0089,"B02682"
"6/1/14 5:20",40.7058,-73.926,"B02598"
"6/1/14 5:20",40.7452,-74.0041,"B02682"
"6/1/14 5:21",40.7772,-73.9763,"B02598"
"6/1/14 5:22",40.7194,-73.9641,"B02598"
"6/1/14 5:22",40.7485,-74.0062,"B02682"
"6/1/14 5:23",40.7209,-74.0042,"B02598"
"6/1/14 5:23",40.7364,-74.0071,"B02598"
"6/1/14 5:23",40.7493,-73.9798,"B02682"
"6/1/14 5:23",40.7608,-73.9734,"B02598"
"6/1/14 5:23",40.7952,-73.9695,"B02598"
"6/1/14 5:24",40.7125,-73.944,"B02617"
"6/1/14 5:24",40.7251,-73.9831,"B02617"
"6/1/14 5:24",40.7404,-74.0053,"B02598"
"6/1/14 5:24",40.7687,-73.925,"B02617"
"6/1/14 5:26",40.7236,-73.9833,"B02617"
"6/1/14 5:26",40.7257,-73.9845,"B02598"
"6/1/14 5:26",40.7348,-74.1648,"B02598"
"6/1/14 5:27",40.6835,-73.9782,"B02598"
"6/1/14 5:27",40.7556,-73.9975,"B02598"
"6/1/14 5:27",40.8018,-73.963,"B02598"
"6/1/14 5:28",40.6448,-73.7825,"B02617"
"6/1/14 5:28",40.7523,-73.9855,"B02617"
"6/1/14 5:29",40.6699,-73.9915,"B02617"
"6/1/14 5:29",40.6889,-73.9602,"B02598"
"6/1/14 5:29",40.7162,-73.9343,"B02598"
"6/1/14 5:29",40.7337,-73.994,"B02682"
"6/1/14 5:29",40.7761,-73.9559,"B02617"
"6/1/14 5:31",40.6951,-74.1785,"B02598"
"6/1/14 5:31",40.7099,-74.009,"B02617"
"6/1/14 5:31",40.7372,-73.9792,"B02682"
"6/1/14 5:31",40.7924,-73.9743,"B02598"
"6/1/14 5:33",40.6489,-73.7825,"B02598"
"6/1/14 5:33",40.6966,-73.9831,"B02682"
"6/1/14 5:33",40.7189,-73.9513,"B02598"
"6/1/14 5:33",40.7292,-73.9991,"B02617"
"6/1/14 5:35",40.745,-74.0018,"B02682"
"6/1/14 5:35",40.7487,-73.9736,"B02682"
"6/1/14 5:36",40.6785,-73.997,"B02682"
"6/1/14 5:36",40.6871,-74.0017,"B02598"
"6/1/14 5:36",40.7215,-74.0105,"B02598"
"6/1/14 5:37",40.722,-73.9889,"B02617"
"6/1/14 5:37",40.7685,-73.9248,"B02598"
"6/1/14 5:37",40.7696,-73.9602,"B02682"
"6/1/14 5:37",40.7721,-73.9622,"B02598"
"6/1/14 5:37",40.7729,-73.954,"B02617"
"6/1/14 5:39",40.7445,-73.9854,"B02598"
"6/1/14 5:40",40.6922,-73.9873,"B02617"
"6/1/14 5:40",40.7339,-73.9947,"B02598"
"6/1/14 5:40",40.7457,-73.9883,"B02598"
"6/1/14 5:41",40.644,-73.7828,"B02617"
"6/1/14 5:41",40.6448,-73.7827,"B02682"
"6/1/14 5:42",40.6888,-73.9414,"B02617"
"6/1/14 5:43",40.6484,-73.7832,"B02682"
"6/1/14 5:43",40.6871,-73.9561,"B02598"
"6/1/14 5:43",40.7004,-73.922,"B02617"
"6/1/14 5:43",40.7644,-73.9776,"B02598"
"6/1/14 5:44",40.6804,-73.9563,"B02598"
"6/1/14 5:44",40.7323,-74.0078,"B02682"
"6/1/14 5:45",40.6484,-73.7831,"B02682"
"6/1/14 5:45",40.7167,-74.0149,"B02682"
"6/1/14 5:45",40.7474,-73.9877,"B02598"
"6/1/14 5:45",40.7573,-73.9748,"B02598"
"6/1/14 5:45",40.7787,-73.9863,"B02682"
"6/1/14 5:45",40.7843,-73.9473,"B02682"
"6/1/14 5:46",40.6467,-73.7901,"B02682"
"6/1/14 5:46",40.6805,-73.9977,"B02617"
"6/1/14 5:46",40.7695,-73.88,"B02598"
"6/1/14 5:47",40.7152,-73.9033,"B02598"
"6/1/14 5:47",40.7372,-74.0058,"B02682"
"6/1/14 5:47",40.7499,-73.9843,"B02617"
"6/1/14 5:47",40.7536,-73.9745,"B02598"
"6/1/14 5:47",40.7593,-73.7064,"B02598"
"6/1/14 5:48",40.7169,-74.0144,"B02598"
"6/1/14 5:48",40.7228,-74.0019,"B02512"
"6/1/14 5:48",40.7236,-74.0108,"B02598"
"6/1/14 5:49",40.6449,-73.7818,"B02598"
"6/1/14 5:49",40.74,-73.9819,"B02682"
"6/1/14 5:49",40.7782,-73.9486,"B02617"
"6/1/14 5:50",40.7286,-73.9762,"B02598"
"6/1/14 5:50",40.8115,-73.9445,"B02682"
"6/1/14 5:51",40.6392,-74.0272,"B02682"
"6/1/14 5:51",40.7279,-74.0562,"B02682"
"6/1/14 5:51",40.7451,-74.0382,"B02617"
"6/1/14 5:51",40.767,-73.956,"B02617"
"6/1/14 5:51",40.7679,-73.9084,"B02682"
"6/1/14 5:52",40.6446,-73.7831,"B02598"
"6/1/14 5:52",40.6868,-73.9655,"B02682"
"6/1/14 5:52",40.7074,-73.9539,"B02598"
"6/1/14 5:52",40.7074,-74.0081,"B02617"
"6/1/14 5:52",40.7144,-73.9339,"B02682"
"6/1/14 5:52",40.7466,-74.029,"B02617"
"6/1/14 5:53",40.6745,-73.9786,"B02598"
"6/1/14 5:53",40.7192,-73.9629,"B02598"
"6/1/14 5:53",40.7236,-73.9983,"B02598"
"6/1/14 5:53",40.7549,-73.9868,"B02598"
"6/1/14 5:54",40.7062,-74.0092,"B02682"
"6/1/14 5:54",40.7549,-73.9644,"B02682"
"6/1/14 5:54",40.7727,-73.9616,"B02598"
"6/1/14 5:55",40.6873,-73.9767,"B02682"
"6/1/14 5:55",40.7063,-74.0095,"B02598"
"6/1/14 5:55",40.7407,-73.9822,"B02617"
